sno,category,english,hindi,tamil,malayalam,isl_gloss,meaning,has_local_video
533,Hobbies & Entertainment,Collecting,एकत्र,சேகரிக்கிறது,ശേഖരിക്കുന്നു,COLLECTING,Gather items,yes
534,Hobbies & Entertainment,Game,खेल,விளையாட்டு,കളി,GAME,Play activity,yes
535,Emergencies & Safety,Danger,खतरा,ஆபத்து,അപായം,DANGER,Risk,yes
536,Emergencies & Safety,Safe,सुरक्षित,பாதுகாப்பான,സുരക്ഷിതം,SAFE,Not dangerous,yes
537,Emergencies & Safety,Unsafe,असुरक्षित,பாதுகாப்பற்ற,സുരക്ഷിതമല്ലാത്ത,UNSAFE,Dangerous,no
538,Emergencies & Safety,Accident,दुर्घटना,விபத்து,അപകടം,ACCIDENT,Mishap,yes
539,Emergencies & Safety,Injury,चोट,காயம்,പരിക്ക്,INJURY,Harm,yes
540,Emergencies & Safety,Fire,आग,தீ,തീ,FIRE,Flame disaster,yes
541,Emergencies & Safety,Smoke,धुआँ,புகை,പുക,SMOKE,Fire vapor,yes
542,Emergencies & Safety,Police,पुलिस,போலீஸ்,പോലീസ്,POLICE,Law enforcement,yes
543,Emergencies & Safety,Rescue,बचाव,மீட்பு,രക്ഷാപ്രവർത്തനം,RESCUE,Save from danger,no
544,Emergencies & Safety,Emergency Number,आपातकालीन नंबर,அவசர எண்,അടിയന്തര നമ്പർ,EMERGENCY-NUMBER,Crisis phone,yes
545,Emergencies & Safety,First Aid,प्राथमिक चिकित्सा,முதல் உதவி,ആദ്യചികിത്സ,FIRST-AID,Initial medical care,yes
546,Emergencies & Safety,Warning,चेतावनी,எச்சரிக்கை,മുന്നറിയിപ്പ്,WARNING,Alert,yes
547,Emergencies & Safety,Alarm,खतरे की घंटी,எச்சரிக்கை,അലാറം,ALARM,Alert sound,yes
548,Emergencies & Safety,Escape,पलायन,தப்பிக்க,രക്ഷപ്പെടുക,ESCAPE,Get away,yes
549,Emergencies & Safety,Protect,रक्षा करना,பாதுகாக்க,സംരക്ഷിക്കുക,PROTECT,Keep safe,yes
550,Emergencies & Safety,Found,मिला,கண்டுபிடிக்கப்பட்டது,കണ്ടെത്തി,FOUND,Located,yes
551,Emergencies & Safety,Theft,चोरी,திருட்டு,മോഷണം,THEFT,Stealing,yes
552,Emergencies & Safety,Robbery,डकैती,கொள்ளை,കവർച്ച,ROBBERY,Violent theft,yes
553,Emergencies & Safety,Emergency Exit,आपातकालीन निकास,அவசர வெளியேற்றம்,അടിയന്തര പുറപ്പെടൽ,EMERGENCY-EXIT,Escape route,yes
554,Emergencies & Safety,Earthquake,भूकंप,நிலநடுக்கம்,ഭൂകമ്പം,EARTHQUAKE,Ground shake,yes
555,Emergencies & Safety,Flood,बाढ़,வெள்ளம்,വെള്ളപ്പൊക്കം,FLOOD,Water disaster,yes
556,Community & Public Places,Community,समुदाय,சமூகம்,സമൂഹം,COMMUNITY,Local group,yes
557,Community & Public Places,City,शहर,நகரம்,നഗരം,CITY,Urban area,yes
558,Community & Public Places,Town,शहर,நகரம்,പട്ടണം,TOWN,Small urban area,yes
559,Community & Public Places,Village,गाँव,கிராமம்,ഗ്രാമം,VILLAGE,Rural settlement,yes
560,Community & Public Places,Neighborhood,अड़ोस-पड़ोस,அக்கம்,അയൽപ്പക്കം,NEIGHBORHOOD,Local area,no
561,Community & Public Places,Bank,किनारा,வங்கி,ബാങ്ക്,BANK,Financial institution,yes
562,Community & Public Places,ATM,एटीएम,atm,atm,ATM,Cash machine,yes
563,Community & Public Places,Post Office,डाकघर,தபால் நிலையம்,തപാൽ കാര്യാലയം,POST-OFFICE,Mail service,yes
564,Community & Public Places,Library,पुस्तकालय,நூலகம்,ലൈബ്രറി,LIBRARY,Book lending,yes
565,Community & Public Places,College,कॉलेज,கல்லூரி,കോളേജ്,COLLEGE,Higher education,yes
566,Community & Public Places,University,विश्वविद्यालय,பல்கலைக்கழகம்,യൂണിവേഴ്സിറ്റി,UNIVERSITY,Higher education,yes
567,Community & Public Places,Clinic,क्लिनिक,கிளினிக்,ക്ലിനിക്ക്,CLINIC,Small medical office,yes
568,Community & Public Places,Park,पार्क,பூங்கா,പാർക്ക്,PARK,Public green space,yes
569,Community & Public Places,Playground,खेल का मैदान,விளையாட்டு மைதானம்,കളിസ്ഥലം,PLAYGROUND,Children play area,no
570,Community & Public Places,Museum,संग्रहालय,அருங்காட்சியகம்,മ്യൂസിയം,MUSEUM,Exhibit building,yes
571,Community & Public Places,Theater,थिएटर,தியேட்டர்,തിയേറ്റർ,THEATER,Performance venue,yes
572,Community & Public Places,Bus Station,बस स्टेशन,பேருந்து நிலையம்,ബസ് സ്റ്റേഷൻ,BUS-STATION,Bus hub,yes
573,Community & Public Places,Train Station,रेलवे स्टेशन,ரயில் நிலையம்,റെയിൽവേ സ്റ്റേഷൻ,TRAIN-STATION,Rail hub,yes
574,Community & Public Places,Government Office,सरकारी दफ्तर,அரசு அலுவலகம்,സർക്കാർ ഓഫീസ്,GOVERNMENT-OFFICE,Public admin,yes
575,Community & Public Places,Court,अदालत,நீதிமன்றம்,കോടതി,COURT,Legal building,yes
576,Community & Public Places,Police Station,पुलिस स्टेशन,காவல் நிலையம்,പോലീസ് സ്റ്റേഷൻ,POLICE-STATION,Police HQ,yes
577,Community & Public Places,Temple,मंदिर,கோவில்,ക്ഷേത്രം,TEMPLE,Hindu place,yes
578,Community & Public Places,Church,गिरजाघर,தேவாலயம்,പള്ളി,CHURCH,Christian place,yes
579,Community & Public Places,Mosque,मस्जिद,மசூதி,പള്ളി,MOSQUE,Muslim place,yes
580,Community & Public Places,Shopping Mall,शॉपिंग मॉल,ஷாப்பிங் மால்,ഷോപ്പിംഗ് മാൾ,SHOPPING-MALL,Large retail center,yes
581,Daily Conversations & Storytelling,Story,कहानी,கதை,കഥ,STORY,Narrative,yes
582,Daily Conversations & Storytelling,Conversation,बातचीत,உரையாடல்,സംഭാഷണം,CONVERSATION,Dialogue,no
583,Daily Conversations & Storytelling,Discuss,चर्चा करना,விவாதிக்க,ചർച്ച ചെയ്യുക,DISCUSS,Talk about,yes
584,Daily Conversations & Storytelling,Describe,वर्णन करना,விவரிக்க,വിവരിക്കുക,DESCRIBE,Detail,no
585,Daily Conversations & Storytelling,Think,सोचना,நினைக்கிறார்கள்,ചിന്തിക്കുക,THINK,Consider,yes
586,Daily Conversations & Storytelling,Believe,विश्वास,நம்பு,വിശ്വസിക്കുന്നു,BELIEVE,Accept as true,yes
587,Daily Conversations & Storytelling,Guess,अनुमान,யூகிக்கிறேன்,ഊഹിക്കുക,GUESS,Estimate,yes
588,Daily Conversations & Storytelling,Opinion,राय,கருத்து,അഭിപ്രായം,OPINION,Viewpoint,yes
589,Daily Conversations & Storytelling,Idea,विचार,யோசனை,ആശയം,IDEA,Thought,yes
590,Daily Conversations & Storytelling,Example,उदाहरण,உதாரணம்,ഉദാഹരണം,EXAMPLE,Sample case,yes
591,Daily Conversations & Storytelling,Event,आयोजन,நிகழ்வு,സംഭവം,EVENT,Occurrence,yes
592,Daily Conversations & Storytelling,Experience,अनुभव,அனுபவம்,അനുഭവം,EXPERIENCE,Lived event,yes
593,Daily Conversations & Storytelling,Beginning,शुरुआत,ஆரம்பம்,തുടക്കം,BEGINNING,Start point,yes
594,Daily Conversations & Storytelling,Middle,मध्य,நடுத்தர,മധ്യഭാഗം,MIDDLE,Center,yes
595,Daily Conversations & Storytelling,End,अंत,முடிவு,അവസാനിക്കുന്നു,END,Finish point,yes
596,Daily Conversations & Storytelling,Happened,घटित,நடந்தது,സംഭവിച്ചു,HAPPENED,Occurred,yes
597,Daily Conversations & Storytelling,More,अधिक,மேலும்,കൂടുതൽ,MORE,Additional,yes
